HLA,alpha_min,alpha_max,beta_min,beta_max
HLA-B4601,27.29698099846466, 39.46788778274111,0.7043905989170314, 1.02342876635027
HLA-B4801,15.343735786756854, 22.486242795736274,0.39689694121638724, 0.8783845969721351
HLA-B5101,16.249986897523392, 28.971918589386735,0.5219300335255079, 0.7646483247322531
HLA-B5301,11.70917729360575, 19.584139868872246,0.4139423240902463, 0.7135070784410198
HLA-B5401,12.31080522572058, 15.46653175775358,0.49951644717782023, 0.7241498478318545
HLA-B5701,14.894189681319201, 17.513403746016674,0.6715478894392437, 0.8023313655567514
HLA-B5801,11.56515287129378, 15.38609611493406,0.6324907057076622, 1.1474668396776553
HLA-B8301,18.46208312156898, 24.12188048951141,0.8145647244941825, 1.4799218777674505
HLA-C0303,15.704591602326305, 25.253540595923102,0.6995520241559304, 0.9051504769343175
HLA-C0401,13.408950399183498, 34.178114654512584,1.1273788965711466, 1.9713276794961627
HLA-C0501,14.063033962037672, 22.363960328625193,0.9381562374902436, 1.3466114021937432
HLA-C0602,12.409357074520852, 43.26173690520228,0.8324046284777933, 1.5119884181496683
HLA-C0702,12.640493224480526, 35.0879840104166,0.8691472451355524, 1.1649017285948695
